phone_md5,ft_tag_gender,ft_tag_marrige,parent,ft_lbs_same_night_stay_wifimac_cnt,ft_tag_occupation_office,ft_tag_province,ft_tag_city,ft_tag_city_tier,ft_asset_score_a_rule,ft_asset_score_b_rule,ft_asset_score_c_rule,ft_asset_score_d_rule,ft_asset_score_e_rule,ft_asset_score_f_rule,ft_tag_p2p,ft_tag_stock,ft_tag_asset_management,ft_tag_bookkeeping,ft_tag_banking,ft_tag_credit_card,ft_tag_lottery,ft_stable_score_a_rule,ft_stable_score_b_rule,ft_stable_score_c_rule,ft_stable_score_d_rule,ft_stable_score_e_rule,ft_stable_score_f_rule
beb79be294009a8b76702bd7b40e3891,1,2,0,2.5,0,44000000,44030000,1,543,4,547,6,549,3,3,0,1,0,1,0,0,567,10,551,6,549,9
7b3cd797469d6661ee197cac58c42f8d,0,1,0,2.5,0,44000000,44200000,3,549,5,546,4,549,1,0,0,1,0,1,0,0,568,10,563,9,549,10
0ffc530c35490c2e4b195ada68a671bd,1,2,1,2.5,1,34000000,34010000,2,534,1,544,4,545,3,0,1,0,0,1,0,0,544,6,549,6,541,5
cbfab571bb860c6925111f1c7bb2cf5a,1,1,0,2.5,1,42000000,42010000,2,548,4,542,5,549,2,0,1,1,0,1,1,0,555,6,549,8,544,4
52bba6828bac5259fbb97b801ef69faf,1,1,0,2.5,1,41000000,41010000,2,533,3,546,5,563,3,3,0,0,0,1,1,0,558,5,546,7,537,4
7dc881dbc9a7875f4def783570cbcd34,1,1,0,2,0,42000000,42010000,0,539,3,548,3,547,0,0,1,0,0,1,0,0,570,5,557,9,565,6
c6e821abab3a6f081cc464e5443ce9f1,1,2,0,2.5,0,35000000,35020000,2,534,3,540,3,547,1,0,1,1,0,1,0,0,546,6,549,6,544,8
3e1f2978d09c6ce2d111ea23f59b8c81,1,2,1,2.5,1,33000000,33100000,3,549,6,550,5,549,2,0,1,0,0,0,0,0,538,7,554,9,550,9
f72ac33175ef8b2f02aec3a7efea5247,1,2,0,2.5,0,35000000,35010000,2,547,3,543,3,549,1,0,1,1,0,1,1,0,540,3,547,8,541,8
dc5d3b1efac51cd2f4ef62839a824129,1,1,0,2.5,1,43000000,43110000,4,546,5,545,4,546,1,0,1,1,0,1,0,0,564,6,546,8,539,6
4413a01dd4f662a4933b5e534d43be94,1,0,0,2.5,0,32000000,32030000,3,544,4,544,4,549,1,3,1,1,0,0,0,0,587,11,560,10,572,9
4490a217bcaed5948d6a810719700e78,1,1,0,2.5,0,35000000,35010000,2,552,2,549,3,549,3,0,1,0,0,1,1,0,554,5,548,8,544,5
59cd8d0798a5febf96de7d7cd5c0b4fb,1,2,0,2.5,1,33000000,33020000,2,546,4,548,3,549,2,0,0,0,0,1,0,0,580,9,552,9,553,7
391e3e9eb63a916400f7acd85144517a,1,2,0,2.5,1,31000000,31000000,1,538,1,535,2,547,2,0,1,0,0,1,0,0,552,4,553,8,544,8
f72cc84f3d63935d30de3162abaf0364,1,2,0,2.5,0,32000000,32020000,2,554,4,542,3,546,0,1,1,1,0,1,1,0,541,2,557,8,547,6
2fc822cb318845646ec6057b63cce24a,1,2,0,2.5,1,32000000,32050000,2,553,4,548,4,549,1,3,1,1,0,1,0,0,556,4,557,8,550,5
